,Σ\|w\| ≤ 1,Σ\|w\| ≤ 2,Σ\|w\| ≤ 3,Σ\|w\| ≤ 5,tilt ≤ 1,tilt ≤ 2,tilt ≤ 3,tilt ≤ 5
pregões,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0
retorno acumulado bruto,0.18812865273656443,0.2586936162926705,0.3487570440207304,0.4713212179025785,0.3716873161959686,0.4475204859927109,0.515850832299539,0.6734218886120995
retorno acumulado líquido,0.15262964181216776,0.18760900166785,0.23760303883550304,0.2831419787556375,0.3316415037567013,0.36489217510721916,0.38935132552071505,0.4582227091973896
retorno médio diário líquido,0.0003866052211250871,0.00047913155157402917,0.0006083837288522103,0.0007534247610737858,0.0008271055829530541,0.0009017666546546004,0.0009676767730241032,0.0011449347348082663
vol anualizada,0.0584336540538461,0.098796117682593,0.13912416896318813,0.20929624804110508,0.1764133445132737,0.18839113688631112,0.21147669653649231,0.2625285851588429
sharpe anualizado (excesso zero),1.66726721614476,1.2221244501182347,1.1019846573985512,0.907149753364454,1.1814900254809628,1.2062414438854179,1.1531036317280214,1.0990176669603884
giro diário médio,0.40575744132168473,0.777582213538832,1.150767468652434,1.8308154730702546,0.39634122516246634,0.7861614137984952,1.1652944329890973,1.8415331411422162
giro desfeito em 1–2 pregões,0.4267717890636132,0.423197018481527,0.4229916096064642,0.4148819659546569,0.41882291419890955,0.42095372936954517,0.4209518711128679,0.41730763408215626
custo pago (fração do patrimônio),0.030350656610862024,0.05816314957270463,0.08607740665520208,0.13694499738565508,0.029646323642152486,0.058804873752127444,0.08716402358758449,0.13774667895743775
custo de breakeven (bps por lado),11.527988442202993,8.161812130365835,7.286765097423522,6.115241389184364,22.86852263763404,13.470502607060494,10.304139671738714,8.21729095843541
alavancagem média (Σ|w|),1.0,1.9471452011230699,2.883408301771659,4.686624107331921,1.9146333768997865,2.823167065348917,3.726057317963484,5.4736865202093155
views ativas por dia (média),1.9919786096256684,1.9919786096256684,1.9919786096256684,1.9919786096256684,1.9919786096256684,1.9919786096256684,1.9919786096256684,1.9919786096256684
perna de mercado (composta),0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776
tilt (soma das contribuições diárias),-0.11189095541636228,-0.049473614866615334,0.026780956517921877,0.13189389329924422,0.052151846938587806,0.10923363786494104,0.1622431719705922,0.2791203050477224
benchmark acumulado,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776,0.3011928586581776
excesso acumulado (líquido − benchmark),-0.14856321684600982,-0.11358385699032758,-0.06358981982267453,-0.018050879902540062,0.03044864509852374,0.06369931644904159,0.08815846686253748,0.15702985053921203
