bin,p_medio,freq,n,freq_lo,freq_hi,recorte
0,0.018610682819383263,0.0,908,0.0,0.0,pooled
1,0.14220000000000002,0.1,100,0.0,0.2567734814021942,pooled
2,0.2470079365079365,0.30158730158730157,63,0.12853896103896104,0.5161568409343713,pooled
3,0.35214516129032253,0.41935483870967744,62,0.2161679536679537,0.6207384515289522,pooled
4,0.4579017857142857,0.375,56,0.1935483870967742,0.631578947368421,pooled
5,0.5372608695652176,0.7391304347826086,23,0.35703781512605043,0.96,pooled
6,0.6514285714285714,0.8571428571428571,14,0.5714285714285714,1.0,pooled
7,0.7406521739130435,0.7391304347826086,23,0.4230769230769231,1.0,pooled
8,0.8513793103448275,1.0,29,1.0,1.0,pooled
9,0.9641376811594204,1.0,138,1.0,1.0,pooled
0,0.021290476190476196,0.009523809523809525,105,0.0,0.03225806451612903,h=0
1,0.29811111111111116,0.2222222222222222,9,0.0,0.6,h=0
2,0.48662500000000003,0.5833333333333334,12,0.3747159090909091,0.8181818181818182,h=0
3,0.64,0.5,2,0.0,1.0,h=0
4,0.9739444444444444,1.0,18,1.0,1.0,h=0
0,0.03973113207547169,0.018867924528301886,106,0.0,0.047619047619047616,h=20
1,0.3007894736842105,0.42105263157894735,19,0.23518099547511312,0.6153846153846154,h=20
2,0.45875,0.25,4,0.0,1.0,h=20
3,0.7200000000000001,0.6666666666666666,6,0.25,1.0,h=20
4,0.9381666666666668,1.0,15,1.0,1.0,h=20
0,0.019749131944444446,0.001736111111111111,576,0.0,0.005725464510384889,FOMC
1,0.2604545454545455,0.2727272727272727,22,0.0,0.6060606060606061,FOMC
2,0.4749736842105263,0.5263157894736842,19,0.5,0.6666666666666666,FOMC
3,0.7155357142857143,0.75,28,0.4241014799154334,1.0,FOMC
4,0.94689,1.0,150,1.0,1.0,FOMC
0,0.045701388888888896,0.020833333333333332,432,0.0,0.06812143918751548,CPI
1,0.30742233009708736,0.3786407766990291,103,0.21238938053097345,0.56,CPI
2,0.4829166666666667,0.4666666666666667,60,0.20726235146966854,0.7843137254901961,CPI
3,0.68,0.8888888888888888,9,0.0,1.0,CPI
4,0.9239705882352941,1.0,17,1.0,1.0,CPI
