surpresa,ativo,n,beta,t,r2,familia
poly,SPY,17,0.0014444125646030559,0.9232535357688171,0.053770864204310986,FOMC
poly,TIP,17,0.0006643206310721899,1.2742368944983866,0.09767269919700106,FOMC
poly,TLT,17,0.0020315280715648746,2.0690374615372957,0.22202866364937635,FOMC
poly,XLE,17,0.00023994606941037648,0.12516587296918566,0.0010433433481332743,FOMC
poly,XLF,17,0.001390834891522049,0.9344959561484604,0.055015884804645365,FOMC
poly,XLK,17,0.0032049010727886857,1.3825384670351024,0.11302501196035286,FOMC
poly,XLP,17,0.0006753048761995392,0.5090646810107468,0.01698304970843567,FOMC
poly,XLU,17,0.0020621352841474964,1.5754739563839,0.14198040309869608,FOMC
poly,XLV,17,0.0002346125422478004,0.19196391663845797,0.002450655884385089,FOMC
ff,SPY,17,0.0008565976349850548,1.9350139314060504,0.19975582585852358,FOMC
ff,TIP,17,0.0003212613812659547,2.1840470694969256,0.24127702269521978,FOMC
ff,TLT,17,0.00043201034068071924,1.3340029048120243,0.10605542411923197,FOMC
ff,XLE,17,0.00017690720192267372,0.30066750530109576,0.00599062603114664,FOMC
ff,XLF,17,0.00021832679023975948,0.4668138020100996,0.014319643916165137,FOMC
ff,XLK,17,0.0011718114943137143,1.6878136183564167,0.15960335747333287,FOMC
ff,XLP,17,0.0009674178831312847,2.9563201456334918,0.3681504561733757,FOMC
ff,XLU,17,0.0009873717888758795,2.803522020688821,0.3438244350936722,FOMC
ff,XLV,17,0.0004061312220937615,1.1231191874603608,0.0775700102393263,FOMC
ff_dm,SPY,16,0.0009047847358392693,2.1052299365988403,0.24045110397365665,FOMC
ff_dm,TIP,16,0.00032546496701059776,2.282827178360634,0.27126222308039083,FOMC
ff_dm,TLT,16,0.0005172378130919974,1.7186486879327871,0.17422415308765438,FOMC
ff_dm,XLE,16,0.00014875338355512001,0.2644743352037116,0.0049713531687217705,FOMC
ff_dm,XLF,16,0.00019779232532030866,0.4239146978557571,0.012673302293681021,FOMC
ff_dm,XLK,16,0.001393582743051974,2.182087963747651,0.25379132165700236,FOMC
ff_dm,XLP,16,0.000818882622144835,2.3563690822059438,0.2839781245153862,FOMC
ff_dm,XLU,16,0.0009598499025358754,3.0634416666227127,0.4013173117473101,FOMC
ff_dm,XLV,16,0.0003061957436986298,0.8429498646007051,0.04830300533165088,FOMC
kuttner_dDTB3,SPY,17,-0.00023871552335481486,-0.25406907449950916,0.004284966356554953,FOMC
kuttner_dDTB3,TIP,17,4.80475043751843e-06,0.01495337939456796,1.4906681475412853e-05,FOMC
kuttner_dDTB3,TLT,17,0.0009168802150403342,1.5100050890938737,0.13195023993694266,FOMC
kuttner_dDTB3,XLE,17,-0.0008377355621907324,-0.7602806820486193,0.03710525896847494,FOMC
kuttner_dDTB3,XLF,17,-0.00032393691540826046,-0.36298139875335184,0.008707218133226724,FOMC
kuttner_dDTB3,XLK,17,0.000999214335502756,0.7047940061872462,0.032054145874119255,FOMC
kuttner_dDTB3,XLP,17,-0.0011750786713922567,-1.6271550259798688,0.15002767831655228,FOMC
kuttner_dDTB3,XLU,17,0.00034761444527624355,0.4226904938761471,0.011770944749495693,FOMC
kuttner_dDTB3,XLV,17,-0.0010665393349433556,-1.6126575097670865,0.14775943724527774,FOMC
poly,SPY,12,-0.003510537618841685,-0.10410238764335046,0.0010825575104838059,CPI
poly,TIP,12,-0.000110082863145395,-0.013177845872265549,1.7365260625679113e-05,CPI
poly,TLT,12,-0.0013575061539339473,-0.06856632556739856,0.00046991317797240306,CPI
poly,XLE,12,0.003683922128229896,0.07349201521993538,0.0005398160713298017,CPI
poly,XLF,12,-0.015745605327635793,-0.5033679470011284,0.024711783588613034,CPI
poly,XLK,12,-0.01710289114590022,-0.3992574431973118,0.015690533286085273,CPI
poly,XLP,12,0.02866813081918532,1.105110249185774,0.10883516824600037,CPI
poly,XLU,12,-2.6930688094844888e-05,-0.0019558344096147363,3.82528677511651e-07,CPI
poly,XLV,12,0.028844364006984383,0.8981827458576851,0.0746508960035498,CPI
naive_mes_anterior,SPY,11,0.002698525683768634,0.195645674796596,0.00423501394040926,CPI
naive_mes_anterior,TIP,11,0.001277012663563285,0.37014832646702267,0.014995035228315134,CPI
naive_mes_anterior,TLT,11,0.002333371680093036,0.2854209666093773,0.008970482959565707,CPI
naive_mes_anterior,XLE,11,-0.001390016629743983,-0.06700677234271166,0.0004986298597577932,CPI
naive_mes_anterior,XLF,11,-0.007030372529972491,-0.544339066761798,0.031873418414982146,CPI
naive_mes_anterior,XLK,11,0.004156393095508963,0.2418232856625068,0.006455664875618883,CPI
naive_mes_anterior,XLP,11,-0.0016636225415445516,-0.17335080649159512,0.0033278332279828016,CPI
naive_mes_anterior,XLU,11,-0.001488674959936578,-0.26537540175536994,0.0077641467532790776,CPI
naive_mes_anterior,XLV,11,0.003620602654043689,0.2631849587371799,0.007637478054162483,CPI
