h,n,mae_poly,mae_ff,mae_ff_dm,rmse_poly,rmse_ff,vies_poly,vies_ff,acerto_modal_poly,acerto_modal_ff,acerto_modal_ff_dm,dm,p_dm,dm_vs_ff_dm,p_dm_vs_ff_dm
0,17,0.8735063456871323,8.94117647058824,4.809483138389387,1.6699519649601031,10.35828738967301,-0.04081703085032467,8.823529411764708,1.0,0.7058823529411765,1.0,-6.073900400343439,1.6113627014311687e-05,-3.695941542321912,0.0021569441068296316
1,18,0.794911715841851,9.111111111111116,4.7097972241138315,1.438597483939648,10.440306508910552,-0.008740571396944258,9.000000000000002,1.0,0.6666666666666666,1.0,-6.5706049835353175,4.7612403951190085e-06,-4.0950920183938475,0.0008452109400027569
2,18,0.9741035001649111,8.333333333333337,4.219505316866905,1.635102234138055,9.433981132056607,0.09002505437449382,8.22222222222223,1.0,0.7777777777777778,1.0,-6.425820177641277,6.271966838606404e-06,-4.045308142102922,0.0009383029758219595
3,18,1.3420143756695981,8.500000000000005,4.4645676795330695,3.1423479697596752,9.703951085339762,-0.31869658711435256,8.388888888888896,0.9444444444444444,0.7777777777777778,1.0,-4.959248433420094,0.00011934181269261924,-2.956025996806099,0.009293232496058474
5,18,1.7482745193867357,8.000000000000007,5.199648462840491,3.847582327072931,9.416297927883695,-0.2949470849069158,7.666666666666681,0.9444444444444444,0.7222222222222222,1.0,-3.851384865727825,0.0012798269332419299,-3.9473986579040905,0.0011527779848690117
10,18,2.07240877195054,8.111111111111118,5.634531683234095,4.099382661683473,9.12870929175277,-0.5336890690552755,5.888888888888904,0.9444444444444444,0.7777777777777778,0.8823529411764706,-4.961696755147837,0.00011873082064025938,-3.459017102532001,0.0032314603023821864
15,17,2.744383618854074,7.705882352941186,6.653862283549786,5.018187756414118,8.700912731026634,-1.0490875080275912,3.7058823529411837,0.9411764705882353,0.8823529411764706,0.875,-4.761520923167108,0.0002123652249558401,-4.316715948846763,0.0006109200608108139
20,18,3.56049752617003,7.833333333333343,6.480160232885149,6.403882556979347,9.076832536126739,-1.8500592330521495,3.833333333333334,0.8888888888888888,0.8333333333333334,0.8823529411764706,-3.564670748565091,0.002384918007779776,-3.5786504892172966,0.0025099035442893505
30,17,4.358975007843212,9.117647058823536,9.243018093018096,6.665914875914001,10.892523069680848,-0.8606435657331577,2.6470588235294157,0.9411764705882353,0.7058823529411765,0.75,-4.954460657012585,0.00014347373740493318,-3.7888649814506272,0.0017833736613154924
45,16,4.297640242245319,11.687500000000009,9.87279202279202,5.258546847603164,14.073467945037567,2.146864811758693,7.562500000000008,0.9375,0.625,0.7333333333333333,-3.7086741964330106,0.002101423270705634,-1.9909519675418932,0.06637297336775408
60,13,7.923772741700396,10.076923076923086,6.750321669071681,8.873905816792456,11.465667815768024,4.120020235012403,7.461538461538467,0.8461538461538461,0.5384615384615384,0.9166666666666666,-1.6287272313160956,0.1293228683670893,0.3178829192016112,0.756526823373866
