familia,evento,mercado,bucket,K,h,p,y,valor,volume
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,0,0.002,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,0,0.0045,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,0,0.991,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,0,0.007,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,1,0.004,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,1,0.0055,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,1,0.988,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,1,0.008,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,2,0.0075,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,2,0.0055,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,2,0.9845,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,2,0.008,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,3,0.0075,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,3,0.0045,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,3,0.9865,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,3,0.0095,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,5,0.008,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,5,0.009,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,5,0.979,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,5,0.0125,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,10,0.0095,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,10,0.0115,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,10,0.9775,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,10,0.01,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,15,0.0135,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,15,0.017,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,15,0.9645,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,15,0.0135,0.0,37.5,286083.44
FOMC,2024-05-01,Fed decreases interest rates by 50+ bps after May 2024 meeting?,0,4,20,0.0125,0.0,-62.5,214654.56
FOMC,2024-05-01,Fed decreases interest rates by 25 bps after 2024 May meeting?,1,4,20,0.0175,0.0,-25.0,234731.02
FOMC,2024-05-01,No change in Fed interest rates after 2024 May meeting?,2,4,20,0.9675,1.0,0.0,165142.11
FOMC,2024-05-01,Fed raises interest rates by 25+ bps after 2024 May meeting?,3,4,20,0.0035,0.0,37.5,286083.44
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,0,0.0005,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,0,0.0025,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,0,0.9975,1.0,0.0,43061416.20801809
FOMC,2026-06-17,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,3,5,0,0.002,0.0,25.0,31037182.120555956
FOMC,2026-06-17,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,4,5,0,0.0005,0.0,62.5,21740489.034398694
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,1,0.0005,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,1,0.0045,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,1,0.9945,1.0,0.0,43061416.20801809
FOMC,2026-06-17,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,3,5,1,0.0015,0.0,25.0,31037182.120555956
FOMC,2026-06-17,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,4,5,1,0.0005,0.0,62.5,21740489.034398694
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,2,0.0015,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,2,0.0035,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,2,0.9955,1.0,0.0,43061416.20801809
FOMC,2026-06-17,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,3,5,2,0.0005,0.0,25.0,31037182.120555956
FOMC,2026-06-17,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,4,5,2,0.0005,0.0,62.5,21740489.034398694
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,3,0.0015,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,3,0.0025,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,3,0.9955,1.0,0.0,43061416.20801809
FOMC,2026-06-17,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,3,5,3,0.0015,0.0,25.0,31037182.120555956
FOMC,2026-06-17,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,4,5,3,0.0005,0.0,62.5,21740489.034398694
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,5,0.0015,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,5,0.0025,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,5,0.9935,1.0,0.0,43061416.20801809
FOMC,2026-06-17,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,3,5,5,0.0035,0.0,25.0,31037182.120555956
FOMC,2026-06-17,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,4,5,5,0.0005,0.0,62.5,21740489.034398694
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,10,0.0015,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,10,0.0045,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,10,0.9925,1.0,0.0,43061416.20801809
FOMC,2026-06-17,Will the Fed increase interest rates by 25 bps after the June 2026 meeting?,3,5,10,0.0035,0.0,25.0,31037182.120555956
FOMC,2026-06-17,Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,4,5,10,0.0005,0.0,62.5,21740489.034398694
FOMC,2026-06-17,Will the Fed decrease interest rates by 50+ bps after the June 2026 meeting?,0,5,15,0.0045,0.0,-62.5,37866883.42341023
FOMC,2026-06-17,Will the Fed decrease interest rates by 25 bps after the June 2026 meeting?,1,5,15,0.0095,0.0,-25.0,30934915.761426214
FOMC,2026-06-17,Will there be no change in Fed interest rates after the June 2026 meeting?,2,5,15,0.9825,1.0,0.0,43061416.20801809
