release_date,time_et,mes_referencia,fonte
2025-01-13,8:30 AM,December 2025,Polymarket rules (december-inflation-us-monthly)
2025-03-12,8:30 AM,February 2025,Polymarket rules (february-inflation-monthly)
2025-04-10,8:30 AM,March 2025,Polymarket rules (march-inflation-monthly)
2025-06-11,8:30 AM,May 2025,Polymarket rules (may-inflation-monthly)
2025-07-15,8:30 AM,June 2025,Polymarket rules (june-inflation-monthly)
2025-08-12,8:30 AM,July 2025,Polymarket rules (july-inflation-monthly)
2025-09-11,8:30 AM,August 2025,Polymarket rules (august-inflation-monthly)
2025-10-15,8:30 AM,September 2025,Polymarket rules (september-inflation-monthly)
2025-11-13,8:30 AM,October 2025,Polymarket rules (october-inflation-monthly)
2025-12-18,8:30 AM,November 2025,Polymarket rules (november-inflation-monthly)
2026-04-10,8:30 AM,March 2026,Polymarket rules (march-inflation-us-monthly)
2026-05-12,8:30 AM,April 2026,Polymarket rules (april-inflation-us-monthly)
2026-06-10,8:30 AM,May 2026,Polymarket rules (may-inflation-us-monthly)
2026-07-14,8:30 AM,June 2026,Polymarket rules (june-inflation-us-monthly-20260610151033433)
2026-08-12,8:30 AM,July 2026,Polymarket rules (july-inflation-us-monthly-20260714151042665)
