view,mercado,conditionId,n_trades_total,bateu_cap_20k,t_cobertura_min,primeiro_slot,ultimo_slot
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,1112,não,2025-12-20 05:53:50,2025-12-20 00:00,2026-02-13 12:00
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt2,0x8253528e603b5cabb8ab45d1e1209bda57aa2a9f6f0d61aba7ad0a38147a86ee,1096,não,2025-12-21 13:29:49,2025-12-20 00:00,2026-02-13 12:00
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt3,0xff8bf331f7ddbdd2e92e27dcd273612ec45fefde3cf70039c4f043eaec0000c6,835,não,2026-01-02 15:30:19,2025-12-20 00:00,2026-02-13 12:00
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt4,0x892231e7fd3ac31a3b321002f909e011180b709af074808908d27a2a32a7b546,772,não,2026-01-02 15:30:19,2025-12-20 00:00,2026-02-13 12:00
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt5,0xb83cf6cdfe9973219d19fb70f863ec9b713a313609db51839eeb34f7acf275ad,808,não,2025-12-22 10:21:09,2025-12-20 00:00,2026-02-13 12:00
2.2,CPI_april-inflation-us-monthly_will-monthly-inflation-increase-by-0pt3,0xb01fbf9c684f7a5fca30c6ac41134d4cca688dcd1bef5dc873d48fe6be8317f9,249,não,2026-04-10 21:11:07,2026-04-12 00:00,2026-05-12 12:00
2.2,CPI_april-inflation-us-monthly_will-monthly-inflation-increase-by-0pt4,0x65a322d77cd5988d7c95feaee452b8bb8215821cda80efd8d0b739f226fbaf12,368,não,2026-04-11 21:23:57,2026-04-20 12:00,2026-05-12 12:00
2.2,CPI_april-inflation-us-monthly_will-monthly-inflation-increase-by-0pt5,0x42e32bd8f228f746250da57ea47dfc9b1532116e96383f20eb55bae9eb3df424,350,não,2026-04-11 21:23:57,2026-04-20 12:00,2026-05-12 12:00
2.2,CPI_april-inflation-us-monthly_will-monthly-inflation-increase-by-0pt6,0xc421931cda8274a8a7f692cd1cc996ae0276b366432bf966f1da3b31ab462eb7,406,não,2026-04-11 21:23:57,2026-04-19 00:00,2026-05-12 12:00
2.2,CPI_april-inflation-us-monthly_will-monthly-inflation-increase-by-0pt7,0xfe6a33f987eaa141427e66ca251af7c02856ed9d8ae8bd0c219b46720a9fedf2,257,não,2026-04-11 21:23:57,2026-04-13 00:00,2026-05-12 12:00
