slug_mercado,token_id,outcome,slug_desfecho,familia
next-bls-jobs-report-during-government-shutdown,39804222665303414422436799174051656014679417483030490719319812249368627342421,Yes/No,next-bls-jobs-report-during-government-shutdown,release_timing_meta
how-many-jobs-added-in-april-296,75802397260699424311395056937451773302316074089623791662489676307272792037620,<-50k,will-the-us-lose-more-than-50k-jobs-in-april,nfp_jobs_added
how-many-jobs-added-in-april-296,32958987134576010869596968924347091703557384385032752075178994566490153269049,-50k – 0,will-the-us-lose-between-0-and-50k-jobs-in-april,nfp_jobs_added
how-many-jobs-added-in-april-296,30486803858519743838125614187916234968374638893932604497651559573885073141675,0 – 50k,will-the-us-add-between-0-and-50k-jobs-in-april,nfp_jobs_added
how-many-jobs-added-in-april-296,23200255832379996978000372151085707362581838748484250078265928147694585044981,50k – 100k,will-the-us-add-between-50k-and-100k-jobs-in-april-963,nfp_jobs_added
how-many-jobs-added-in-april-296,65422595272421542190232442275364176935110498716576687799743536736152881383509,100k – 150k,will-the-us-add-between-100k-and-150k-jobs-in-april-128,nfp_jobs_added
how-many-jobs-added-in-april-296,34168624293293518697679457298742772947618709007368699740824178341394437044767,150k – 200k,will-the-us-add-between-150k-and-200k-jobs-in-april-344,nfp_jobs_added
how-many-jobs-added-in-april-296,114984678615674466035269339920011747132407760124532913956689676232118024404349,200k – 250k,will-the-us-add-between-200k-and-250k-jobs-in-april-194,nfp_jobs_added
how-many-jobs-added-in-april-296,52958233287929591894889223773473227875487651241911553307485452679124155127251,250k+,will-the-us-add-at-least-250k-jobs-in-april,nfp_jobs_added
april-unemployment-rate-372,21122195915524817248954556541768209975886494565666083936480149602859962929434,≤3.9%,will-the-april-2026-unemployment-rate-be-3pt9,unemployment_rate
april-unemployment-rate-372,77780954837936271171880801181567166597786222430662512583875157994132515417273,4.0%,will-the-april-2026-unemployment-rate-be-4pt0,unemployment_rate
april-unemployment-rate-372,80382917833131523231828778923865730954149282136900678256605023459914541421598,4.1%,will-the-april-2026-unemployment-rate-be-4pt1,unemployment_rate
april-unemployment-rate-372,92731797278431703543796128239498249017833371829860201576381003777584963952610,4.2%,will-the-april-2026-unemployment-rate-be-4pt2,unemployment_rate
april-unemployment-rate-372,75130195789957063074248760611001655723843983535043615267185972178912540993208,4.3%,will-the-april-2026-unemployment-rate-be-4pt3,unemployment_rate
april-unemployment-rate-372,84929345609754481596384329716709484519796946573545650124102467350071902561858,4.4%,will-the-april-2026-unemployment-rate-be-4pt4,unemployment_rate
april-unemployment-rate-372,6075895715666928197493673696676129752769883078151021986033232731535232746509,4.5%,will-the-april-2026-unemployment-rate-be-4pt5,unemployment_rate
april-unemployment-rate-372,91352123473077278899842628936637029229243979152603140636500405461317685817161,4.6%,will-the-april-2026-unemployment-rate-be-4pt6,unemployment_rate
april-unemployment-rate-372,101521036475440767446589759804779465592323091114308971847185776170499985192462,≥4.7%,will-the-april-2026-unemployment-rate-be-4pt7,unemployment_rate
how-many-jobs-added-in-august-643,108254511517168109238803246743933280320741997004048206858496480537326645037376,<50k,will-the-us-add-less-than-50k-jobs-in-august,nfp_jobs_added
