data,view,mercado,familia,evento,dias_corridos_ate_evento,selecionado,ativa,motivo_inativa,c_nivel1,fator_estabilidade,fator_coerencia,volume_notional,tem_portao,n_pontos_janela,n_slots_esperados_janela
2025-02-08,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,32.000000,True,True,,1.341862,1.156777,1.160000,1548.669293,True,2,2
2025-02-09,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,31.000000,True,True,,1.240458,1.170243,1.060000,278.205199,True,4,4
2025-02-10,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,30.000000,True,True,,1.203383,1.124657,1.070000,41.622600,True,6,6
2025-02-11,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,29.000000,True,True,,1.076450,1.050195,1.025000,309.645000,True,6,6
2025-02-12,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,28.000000,True,True,,1.159012,1.058459,1.095000,294.252898,True,6,6
2025-02-13,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,27.000000,True,True,,1.084625,1.058171,1.025000,1121.910981,True,6,6
2025-02-14,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,26.000000,True,True,,1.095216,1.058180,1.035000,227.020000,True,6,6
2025-02-15,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,25.000000,True,True,,1.056298,1.030535,1.025000,126.480000,True,6,6
2025-02-16,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,24.000000,True,True,,1.100219,1.033069,1.065000,579.510000,True,6,6
2025-02-17,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,23.000000,True,True,,1.043834,1.033499,1.010000,52.374600,True,6,6
2025-02-18,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,22.000000,True,True,,1.070516,1.034315,1.035000,84.150000,True,6,6
2025-02-19,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,21.000000,True,True,,1.164733,1.044604,1.115000,201.191999,True,6,6
2025-02-20,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,20.000000,True,True,,1.088004,1.051212,1.035000,282.686398,True,6,6
2025-02-21,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,19.000000,True,True,,1.047925,1.047402,1.000500,228.599600,True,6,6
2025-02-22,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,18.000000,True,True,,1.025110,1.020010,1.005000,1395.231900,True,6,6
2025-02-23,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,17.000000,True,True,,1.037397,1.031210,1.006000,4.400000,True,6,6
2025-02-24,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,16.000000,True,True,,1.069598,1.032431,1.036000,1061.844400,True,6,6
2025-02-25,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,15.000000,True,True,,1.043157,1.021701,1.021000,262.464709,True,6,6
2025-02-26,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,14.000000,True,True,,1.057023,1.027233,1.029000,477.152400,True,6,6
2025-02-27,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,13.000000,True,True,,1.059303,1.023481,1.035000,100.089990,True,6,6
2025-02-28,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,12.000000,True,False,volume_zero,,1.014126,1.020000,0.000000,True,6,6
2025-03-01,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,11.000000,True,True,,1.032042,1.006380,1.025500,18.950400,True,6,6
2025-03-02,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,10.000000,True,True,,1.027952,1.002880,1.025000,409.118000,True,6,6
2025-03-03,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,9.000000,True,True,,1.017400,1.011332,1.006000,386.051113,True,6,6
2025-03-04,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,8.000000,True,True,,1.025167,1.018546,1.006500,954.648259,True,6,6
2025-03-05,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,7.000000,True,True,,1.022860,1.020309,1.002500,234.628120,True,6,6
2025-03-06,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,6.000000,True,True,,1.038509,1.016153,1.022000,855.380200,True,6,6
2025-03-07,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,5.000000,True,True,,1.051451,1.017369,1.033500,5.764720,True,6,6
2025-03-08,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,4.000000,True,True,,1.081269,1.029290,1.050500,603.323178,True,6,6
2025-03-09,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,3.000000,True,True,,1.046442,1.031994,1.014000,665.563866,True,6,6
2025-03-10,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,2.000000,True,True,,1.061712,1.025809,1.035000,438.870248,True,6,6
2025-03-11,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,1.000000,True,True,,1.049566,1.020978,1.028000,4414.374248,True,6,6
2025-03-12,2.2_inflacao,CPI_february-inflation-monthly,,2025-03-12,0.000000,True,True,,1.026065,1.025040,1.001000,19197.554543,True,6,6
2025-03-13,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,28.000000,True,True,,1.224527,1.206430,1.015000,1109.092381,True,2,2
2025-03-14,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,27.000000,True,True,,1.115621,1.093746,1.020000,434.816399,True,4,4
2025-03-15,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,26.000000,True,True,,1.085373,1.064091,1.020000,634.174490,True,6,6
2025-03-16,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,25.000000,True,True,,1.047549,1.027008,1.020000,0.999998,True,6,6
2025-03-17,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,24.000000,True,True,,1.038312,1.017953,1.020000,176.640000,True,6,6
2025-03-18,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,23.000000,True,True,,1.024834,1.004739,1.020000,1355.082398,True,6,6
2025-03-19,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,22.000000,True,True,,1.047076,1.016579,1.030000,2.499999,True,6,6
2025-03-20,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,21.000000,True,True,,1.037122,1.022802,1.014000,971.146731,True,6,6
2025-03-21,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,20.000000,True,True,,1.043570,1.019112,1.024000,4241.580490,True,6,6
2025-03-22,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,19.000000,True,True,,1.102811,1.029221,1.071500,6.631500,True,6,6
2025-03-23,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,18.000000,True,True,,1.046133,1.026627,1.019000,552.589528,True,6,6
2025-03-24,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,17.000000,True,True,,1.042992,1.012123,1.030500,78.332449,True,6,6
2025-03-25,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,16.000000,True,True,,1.048658,1.010755,1.037500,446.903896,True,6,6
2025-03-26,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,15.000000,True,True,,1.017281,1.008207,1.009000,58.859998,True,6,6
2025-03-27,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,14.000000,True,True,,1.015142,1.006087,1.009000,3.049999,True,6,6
2025-03-28,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,13.000000,True,True,,1.005842,1.001336,1.004500,36.365908,True,6,6
2025-03-29,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,12.000000,True,True,,1.005729,1.002221,1.003500,88.193670,True,6,6
2025-03-30,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,11.000000,True,True,,1.005981,1.001475,1.004500,90.794677,True,6,6
2025-03-31,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,10.000000,True,True,,1.011164,1.000657,1.010500,631.724407,True,6,6
2025-04-01,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,9.000000,True,True,,1.004375,1.001371,1.003000,1186.454630,True,6,6
2025-04-02,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,8.000000,True,False,volume_zero,,1.006487,1.001000,0.000000,True,6,6
2025-04-03,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,7.000000,True,True,,1.019020,1.007933,1.011000,694.339858,True,6,6
2025-04-04,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,6.000000,True,True,,1.040498,1.016111,1.024000,4431.602049,True,6,6
2025-04-05,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,5.000000,True,True,,1.114045,1.033917,1.077500,279.680081,True,6,6
2025-04-06,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,4.000000,True,True,,1.083924,1.038241,1.044000,698.445504,True,6,6
2025-04-07,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,3.000000,True,True,,1.036811,1.010045,1.026500,2816.892258,True,6,6
2025-04-08,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,2.000000,True,True,,1.031464,1.025822,1.005500,1349.254257,True,6,6
2025-04-09,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,1.000000,True,True,,1.146072,1.043306,1.098500,11386.064573,True,6,6
2025-04-10,2.2_inflacao,CPI_march-inflation-monthly,,2025-04-10,0.000000,True,True,,1.402576,1.125663,1.246000,4538.730555,True,6,6
2025-05-14,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,28.000000,True,True,,1.057525,1.036789,1.020000,1594.180971,True,2,2
2025-05-15,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,27.000000,True,True,,1.041557,1.021134,1.020000,1154.854395,True,4,4
2025-05-16,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,26.000000,True,True,,1.063947,1.018131,1.045000,1448.478885,True,6,6
2025-05-17,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,25.000000,True,True,,1.020307,1.010205,1.010000,175.405392,True,6,6
2025-05-18,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,24.000000,True,True,,1.035937,1.010670,1.025000,589.866600,True,6,6
2025-05-19,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,23.000000,True,True,,1.051279,1.015729,1.035000,4357.946976,True,6,6
2025-05-20,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,22.000000,True,True,,1.055602,1.019905,1.035000,7904.409081,True,6,6
2025-05-21,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,21.000000,True,True,,1.053916,1.028211,1.025000,715.478787,True,6,6
2025-05-22,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,20.000000,True,True,,1.048977,1.023392,1.025000,215.550599,True,6,6
2025-05-23,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,19.000000,True,True,,1.034190,1.018907,1.015000,51204.427077,True,6,6
2025-05-24,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,18.000000,True,True,,1.036339,1.016019,1.020000,110.928787,True,6,6
2025-05-25,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,17.000000,True,False,volume_zero,,1.009118,1.025000,0.000000,True,6,6
2025-05-26,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,16.000000,True,True,,1.024732,1.004639,1.020000,11.905000,True,6,6
2025-05-27,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,15.000000,True,True,,1.021784,1.006684,1.015000,1123.775983,True,6,6
2025-05-28,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,14.000000,True,True,,1.066161,1.025155,1.040000,639.572292,True,6,6
2025-05-29,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,13.000000,True,True,,1.033117,1.033117,1.000000,606.164098,True,6,6
2025-05-30,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,12.000000,True,True,,1.068978,1.032829,1.035000,2376.129985,True,6,6
2025-05-31,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,11.000000,True,True,,1.048093,1.022529,1.025000,599.273794,True,6,6
2025-06-01,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,10.000000,True,True,,1.055424,1.019733,1.035000,833.579975,True,6,6
2025-06-02,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,9.000000,True,True,,1.045243,1.014799,1.030000,1234.672196,True,6,6
2025-06-03,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,8.000000,True,True,,1.042619,1.012251,1.030000,2249.917796,True,6,6
2025-06-04,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,7.000000,True,True,,1.049873,1.019294,1.030000,2967.422666,True,6,6
2025-06-05,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,6.000000,True,True,,1.058195,1.017495,1.040000,5271.477454,True,6,6
2025-06-06,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,5.000000,True,True,,1.052277,1.041343,1.010500,1390.711274,True,6,6
2025-06-07,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,4.000000,True,True,,1.084967,1.055929,1.027500,3978.735973,True,6,6
2025-06-08,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,3.000000,True,True,,1.078255,1.051956,1.025000,4480.481846,True,6,6
2025-06-09,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,2.000000,True,True,,1.086430,1.058899,1.026000,9270.466175,True,6,6
2025-06-10,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,1.000000,True,True,,1.087807,1.063870,1.022500,8526.746341,True,6,6
2025-06-11,2.2_inflacao,CPI_may-inflation-monthly,,2025-06-11,0.000000,True,True,,1.234986,1.078120,1.145500,8638.417669,True,6,6
2025-06-12,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,33.000000,True,True,,1.272253,1.234597,1.030500,12651.066877,True,2,2
2025-06-13,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,32.000000,True,True,,1.134131,1.104314,1.027000,4343.670130,True,4,4
2025-06-14,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,31.000000,True,True,,1.115819,1.082794,1.030500,5135.804418,True,6,6
2025-06-15,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,30.000000,True,True,,1.053910,1.033245,1.020000,1643.707224,True,6,6
2025-06-16,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,29.000000,True,True,,1.033684,1.018408,1.015000,3471.973229,True,6,6
2025-06-17,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,28.000000,True,True,,1.061961,1.047816,1.013500,4820.466018,True,6,6
2025-06-18,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,27.000000,True,True,,1.079973,1.058279,1.020500,3877.238207,True,6,6
2025-06-19,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,26.000000,True,True,,1.076513,1.060081,1.015500,2448.869434,True,6,6
2025-06-20,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,25.000000,True,True,,1.057831,1.044771,1.012500,5095.960446,True,6,6
2025-06-21,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,24.000000,True,True,,1.049263,1.048739,1.000500,295.847438,True,6,6
2025-06-22,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,23.000000,True,True,,1.059830,1.046746,1.012500,3863.296387,True,6,6
2025-06-23,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,22.000000,True,True,,1.059885,1.039103,1.020000,5302.748135,True,6,6
2025-06-24,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,21.000000,True,True,,1.087089,1.048302,1.037000,5812.669320,True,6,6
2025-06-25,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,20.000000,True,True,,1.070365,1.055066,1.014500,2337.819103,True,6,6
2025-06-26,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,19.000000,True,True,,1.063862,1.051247,1.012000,9450.846938,True,6,6
2025-06-27,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,18.000000,True,True,,1.053123,1.044247,1.008500,8898.049474,True,6,6
2025-06-28,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,17.000000,True,True,,1.075448,1.055395,1.019000,1787.589298,True,6,6
2025-06-29,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,16.000000,True,True,,1.070338,1.046274,1.023000,3159.121590,True,6,6
2025-06-30,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,15.000000,True,True,,1.035221,1.031096,1.004000,12361.012313,True,6,6
2025-07-01,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,14.000000,True,True,,1.031834,1.029774,1.002000,12471.736118,True,6,6
2025-07-02,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,13.000000,True,True,,1.052313,1.032692,1.019000,18936.771885,True,6,6
2025-07-03,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,12.000000,True,True,,1.049418,1.037487,1.011500,7594.582742,True,6,6
2025-07-04,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,11.000000,True,True,,1.054201,1.033530,1.020000,8699.067042,True,6,6
2025-07-05,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,10.000000,True,True,,1.048529,1.034052,1.014000,736.334163,True,6,6
2025-07-06,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,9.000000,True,True,,1.035761,1.018949,1.016500,2518.924360,True,6,6
2025-07-07,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,8.000000,True,True,,1.032043,1.014791,1.017000,9250.694970,True,6,6
2025-07-08,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,7.000000,True,True,,1.024889,1.019283,1.005500,4533.522047,True,6,6
2025-07-09,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,6.000000,True,True,,1.034022,1.024798,1.009000,22549.042695,True,6,6
2025-07-10,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,5.000000,True,True,,1.049871,1.035887,1.013500,14742.582767,True,6,6
2025-07-11,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,4.000000,True,True,,1.083362,1.062119,1.020000,9341.218765,True,6,6
2025-07-12,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,3.000000,True,True,,1.080372,1.061791,1.017500,4637.260113,True,6,6
2025-07-13,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,2.000000,True,True,,1.060223,1.043527,1.016000,6937.251856,True,6,6
2025-07-14,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,1.000000,True,True,,1.056411,1.037222,1.018500,15867.029957,True,6,6
2025-07-15,2.2_inflacao,CPI_june-inflation-monthly,,2025-07-15,0.000000,True,True,,1.134225,1.092702,1.038000,66773.601940,True,6,6
2025-07-16,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,27.000000,True,True,,1.190000,1.144231,1.040000,10428.421535,True,2,2
2025-07-17,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,26.000000,True,True,,1.134550,1.078983,1.051500,9957.733370,True,4,4
2025-07-18,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,25.000000,True,True,,1.092371,1.055941,1.034500,8178.126598,True,6,6
2025-07-19,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,24.000000,True,True,,1.055682,1.021958,1.033000,223.114799,True,6,6
2025-07-20,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,23.000000,True,True,,1.040395,1.017004,1.023000,732.976199,True,6,6
2025-07-21,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,22.000000,True,True,,1.029042,1.014834,1.014000,8154.021984,True,6,6
2025-07-22,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,21.000000,True,True,,1.042672,1.025747,1.016500,152.436360,True,6,6
2025-07-23,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,20.000000,True,True,,1.041818,1.026928,1.014500,158.165015,True,6,6
2025-07-24,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,19.000000,True,True,,1.049014,1.016979,1.031500,1432.676348,True,6,6
2025-07-25,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,18.000000,True,True,,1.017354,1.012293,1.005000,508.369995,True,6,6
2025-07-26,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,17.000000,True,True,,1.018082,1.011507,1.006500,4532.253350,True,6,6
2025-07-27,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,16.000000,True,True,,1.048223,1.022657,1.025000,21567.191181,True,6,6
2025-07-28,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,15.000000,True,True,,1.059789,1.037991,1.021000,20137.736757,True,6,6
2025-07-29,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,14.000000,True,True,,1.076118,1.039728,1.035000,12336.506557,True,6,6
2025-07-30,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,13.000000,True,True,,1.047183,1.027153,1.019500,7139.337044,True,6,6
2025-07-31,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,12.000000,True,True,,1.048687,1.022611,1.025500,14141.702262,True,6,6
2025-08-01,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,11.000000,True,True,,1.045209,1.023711,1.021000,16004.331132,True,6,6
2025-08-02,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,10.000000,True,True,,1.048139,1.028092,1.019500,34562.422325,True,6,6
2025-08-03,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,9.000000,True,True,,1.062851,1.028897,1.033000,29425.962780,True,6,6
2025-08-04,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,8.000000,True,True,,1.060121,1.034770,1.024500,34091.050737,True,6,6
2025-08-05,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,7.000000,True,True,,1.060475,1.032093,1.027500,14288.013923,True,6,6
2025-08-06,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,6.000000,True,True,,1.059637,1.030775,1.028000,9816.322673,True,6,6
2025-08-07,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,5.000000,True,True,,1.048857,1.026781,1.021500,6411.485180,True,6,6
2025-08-08,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,4.000000,True,True,,1.089398,1.027734,1.060000,9465.039051,True,6,6
2025-08-09,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,3.000000,True,True,,1.037501,1.025705,1.011500,6894.462492,True,6,6
2025-08-10,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,2.000000,True,True,,1.044145,1.036887,1.007000,17657.769973,True,6,6
2025-08-11,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,1.000000,True,True,,1.049458,1.041645,1.007500,9383.543100,True,6,6
2025-08-12,2.2_inflacao,CPI_july-inflation-monthly,,2025-08-12,0.000000,True,True,,1.091833,1.068330,1.022000,86781.443311,True,6,6
2025-08-13,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,29.000000,True,True,,1.113180,1.099437,1.012500,18255.849395,True,2,2
2025-08-14,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,28.000000,True,True,,1.068245,1.051422,1.016000,3552.596539,True,4,4
2025-08-15,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,27.000000,True,True,,1.052750,1.034644,1.017500,1159.758226,True,6,6
2025-08-16,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,26.000000,True,True,,1.028435,1.013735,1.014500,6218.024762,True,6,6
2025-08-17,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,25.000000,True,True,,1.022017,1.006417,1.015500,2158.385028,True,6,6
2025-08-18,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,24.000000,True,True,,1.025135,1.009488,1.015500,1358.937595,True,6,6
2025-08-19,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,23.000000,True,True,,1.034419,1.017628,1.016500,1155.582429,True,6,6
2025-08-20,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,22.000000,True,True,,1.029511,1.019823,1.009500,3604.371408,True,6,6
2025-08-21,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,21.000000,True,True,,1.046573,1.025047,1.021000,8390.038778,True,6,6
2025-08-22,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,20.000000,True,True,,1.024749,1.023214,1.001500,3206.276499,True,6,6
2025-08-23,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,19.000000,True,True,,1.029269,1.021100,1.008000,1618.105039,True,6,6
2025-08-24,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,18.000000,True,True,,1.039086,1.017714,1.021000,1874.792592,True,6,6
2025-08-25,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,17.000000,True,True,,1.034628,1.016833,1.017500,3289.697187,True,6,6
2025-08-26,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,16.000000,True,True,,1.026409,1.020288,1.006000,3577.466983,True,6,6
2025-08-27,2.2_inflacao,CPI_august-inflation-monthly,,2025-09-11,15.000000,True,True,,1.033800,1.026613,1.007000,3306.150334,True,6,6
